merchant_id,name
A100000000000001000018,"PAPI LIVE"
A100000000000001005007,"jauhdekat dot com"
A100000000000001005010,"Voltras Agent Network"
A100000000000001005013,TukarAja
A100000000000001005016,Loket
A100000000000001005025,"Sports Warehouse NET"
A100000000000001005037,"theBalm Indonesia-unused"
A100000000000001005040,"PT Databiz Indonesia"
A100000000000001005043,"Tees Indonesia"
A100000000000001005046,"PT CITRA TIARA GLOBAL (Cititrans)"
A100000000000001005056,GadgetCiti
A100000000000001005059,Takzo
A100000000000001005062,Berrybenka
A100000000000001005068,"oke pay"
A100000000000001005074,Unicorner
A100000000000001005086,TokoFBku
A100000000000001005101,"PAC S5UNITY"
A100000000000001005104,"Lavola House"
A100000000000001005146,Craftline
A100000000000001005167,pixbook
A100000000000001005179,steelindonesia
A100000000000001005182,Soundistro
A100000000000001005206,Linea
A100000000000001005218,"PAC WEBSTORE ZOYA"
A100000000000001005221,"Bali Dolphin Interaction"
A100000000000001005233,Bridestory
A100000000000001005236,JKT48
A100000000000001005248,Sandiloka
A100000000000001005266,Sribu
A100000000000001005281,BaliFriendly
A100000000000001005284,"Batiqa Hotels"
A100000000000001005296,"Havehad Footwear"
A100000000000001005299,"Batik Queen"
A100000000000001005314,Klik-Eat
A100000000000001005323,"dunia waktu bersama"
A100000000000001005332,Indomog
A100000000000001005338,"Toko Dunia Bayi"
A100000000000001005350,InstanTicket
A100000000000001005365,Jejualan
A100000000000001005368,"Cipika Indosat"
A100000000000001005374,"CloudKilat by Infinys"
A100000000000001005380,"PT Grand Slam Golf"
A100000000000001005389,Coffesso
A100000000000001005392,"MORE by Morello"
A100000000000001005401,"UD Pison"
A100000000000001005407,"PT Disdus Indonesia"
A100000000000001005413,"PT Traveloka Indonesia"
A100000000000001005419,Cookies
A100000000000001005422,Bimbi
A100000000000001005437,Bumbukado
A100000000000001005443,"Poetih Entertainment"
A100000000000001005446,memangcanggih
A100000000000001005452,IndoKasih
A100000000000001005467,"Cetak Digital Dot Net"
A100000000000001005476,Tokopedia
A100000000000001005500,indoCENTER
A100000000000001005512,SAQINA
A100000000000001005515,"PT WISMA KARAWANG"
A100000000000001005521,YooCorner
A100000000000001005527,"Yohanes G. Pauly"
A100000000000001005530,"PT BERCA CAKRA TEKNOLOGI"
A100000000000001005542,"Adore My Beauty"
A100000000000001005554,"Belle Indonesia"
A100000000000001005566,"Payment Gateway"
A100000000000001005587,"Pilates in Motion"
A100000000000001005590,Pegipegi
A100000000000001005626,BusanaEtnik
A100000000000001005653,"Ulin Ulin"
A100000000000001005674,"SHOPPE 33"
A100000000000001005695,"Putra Tjiluhur(TokoPDA)"
A100000000000001005698,Kollage
A100000000000001005707,Jacquelink
A100000000000001005713,Cinemaxx
A100000000000001005734,"PT Tiket2 Indonesia"
A100000000000001005749,"PT FUNIKA"
A100000000000001005755,"Etong Shop"
A100000000000001005764,"WALS 2014 Conference"
A100000000000001005776,"PAC MOMSTOBE"
A100000000000001005794,OlehOlehSowan
A100000000000001005797,wayang
A100000000000001005809,AlatSelam.Com
A100000000000001005845,"Universitas Bunda Mulia"
A100000000000001005848,Monstore
A100000000000001005860,RajaGPS
A100000000000001005863,"PACTINDO V2"
A100000000000001005869,PusatButik.com
A100000000000001005872,Telefon.co.id
A100000000000001005878,"PT Cekindo Bisnis Grup"
A100000000000001005880,"laxmi winterwear"
A100000000000001005886,"PT Media Pangan Indonesia"
A100000000000001005889,"FISIK SPORT"
A100000000000001005892,"10th ACOMFR 2014-IPG"
A100000000000001005895,"Gratia Prima Indonesia"
A100000000000001005910,"A Collective Market "
A100000000000001005913,"Adplus Digital Solusindo"
A100000000000001005919,"OUTLIVE SHOP"
A100000000000001005922,Qurban.id
A100000000000001005934,Yukberlibur
M005955,"ILUNI FEUI"
M005967,"Royal Safari Garden"
M005970,LocalBrandID
M005976,Ratukutek
M005982,"Tukang Bersih Indonesia"
M005991,"PAC DBATOE HOTEL"
M005994,"PAC ARDJUNA HOTEL"
M006003,"Lee Cooper-Vela Asia"
M006009,m-saku
M006012,"PT Equity Life Indonesia"
M006015,Golfclick
M006021,"TRIJAYA DEWATA"
M006030,Ruangguru
M006075,HOTERIP
M006078,Hijabenka
M006081,"Situs Variasi"
M006087,www.selus.in
M006093,Babyzania.com
M006099,TheBlowShoes-VelaAsia
M006102,"Wisata Dunia"
M006111,BhinnekaCom
M006117,"Elizabeth Wahyu"
M006132,"WALKINDO SUKSES REKREASI"
M006153,Hand-over
M006159,"PT Sinar Rezeki Handal"
M006171,Hurricane
M006204,SCOOP
M006207,Limoff
M006210,bulanmadu
M006213,SUNDAMOTOR
M006219,"PAC AMIRA HOTEL"
M006222,"PAC DAGOSHILL HOTEL"
M006225,"PAC BANTAL GULING"
M006228,"PAC HYPERINN"
M006240,"PAC TOKO BUKU PALASARI"
