id,decision,friendly_name,aasm_state,identifier,override,approved_at
,deny,,,GB0001404,0,2015-02-06 12:08:01
,deny,,,GB0001410,0,2015-02-06 12:08:01
15255,accept,Email address is whitelisted,approved_delete_requested,CB0000001,1,2015-02-06 12:08:01
15256,accept,Email address is whitelisted,approved_delete_requested,CB0000002,1,2015-02-06 12:08:01
15257,accept,Email address is whitelisted,approved_delete_requested,CB0000003,1,2015-02-06 12:08:02
15258,accept,Email address is whitelisted,approved_delete_requested,CB0000004,1,2015-02-06 12:08:02
15259,accept,Email address is whitelisted,approved_delete_requested,CB0000005,1,2015-02-06 12:08:02
15260,accept,Email address is whitelisted,approved_delete_requested,CB0000006,1,2015-02-06 12:08:02
15261,accept,Email address is whitelisted,approved_delete_requested,CB0000007,1,2015-02-06 12:08:02
15262,accept,Email address is whitelisted,approved_delete_requested,CB0000008,1,2015-02-06 12:08:02
15263,accept,Email address is whitelisted,approved_delete_requested,CB0000009,1,2015-02-06 12:08:02
15264,accept,Email address is whitelisted,approved_delete_requested,CB0000010,1,2015-02-06 12:08:02
15265,accept,Email address is whitelisted,approved_delete_requested,CB0000011,1,2015-02-06 12:08:02
15266,accept,Email address is whitelisted,approved_delete_requested,CB0000012,1,2015-02-06 12:08:02
15267,accept,Email address is whitelisted,approved_delete_requested,CB0000013,1,2015-02-06 12:08:02
15268,accept,Email address is whitelisted,approved_delete_requested,CB0000014,1,2015-02-06 12:08:02
15269,accept,Email address is whitelisted,approved_delete_requested,CB0000015,1,2015-02-06 12:08:02
15270,accept,Email address is whitelisted,approved_delete_requested,CB0000016,1,2015-02-06 12:08:02
15271,accept,Email address is whitelisted,approved_delete_requested,CB0000017,1,2015-02-06 12:08:02
15272,accept,Email address is whitelisted,approved_delete_requested,CB0000018,1,2015-02-06 12:08:02
15273,accept,Email address is whitelisted,approved_delete_requested,CB0000019,1,2015-02-06 12:08:02
15274,accept,Email address is whitelisted,approved_delete_requested,CB0000020,1,2015-02-06 12:08:02
15275,accept,Email address is whitelisted,approved_delete_requested,CB0000021,1,2015-02-06 12:08:02
15276,accept,Email address is whitelisted,approved_delete_requested,CB0000022,1,2015-02-06 12:08:02
15277,accept,Email address is whitelisted,approved_delete_requested,CB0000023,1,2015-02-06 12:08:02
15278,accept,Email address is whitelisted,approved_delete_requested,CB0000024,1,2015-02-06 12:08:03
15279,accept,Email address is whitelisted,approved_delete_requested,CB0000025,1,2015-02-06 12:08:03
15280,accept,Email address is whitelisted,approved_delete_requested,CB0000026,1,2015-02-06 12:08:03
15281,accept,Email address is whitelisted,approved_delete_requested,CB0000027,1,2015-02-06 12:08:03
15282,accept,Email address is whitelisted,approved_delete_requested,CB0000028,1,2015-02-06 12:08:03
15283,accept,Email address is whitelisted,approved_delete_requested,CB0000029,1,2015-02-06 12:08:03
15284,accept,Email address is whitelisted,approved_delete_requested,CB0000030,1,2015-02-06 12:08:03
15285,accept,Email address is whitelisted,approved_delete_requested,CB0000031,1,2015-02-06 12:08:03
